case_id,customer_id,region,industry,invoice_amount_usd,num_open_invoices,overdue_days_at_allocation,previous_default_count,previous_recovery_rate,payment_history_score,credit_score_band,contact_attempts_last_30d,last_contact_channel,dispute_flag,promised_to_pay_flag,assigned_dca_id,assigned_date,sla_days,sla_due_date,current_stage_snapshot,recovered_flag,recovered_amount_usd,recovery_days_from_allocation,recovery_date,recovered_within_30d,recovered_within_60d,escalation_flag,model_collectability_bucket_hint
C000001,10892,NA,Healthcare,15487.33,6,33,0,0.933,720.9,Good,1,Portal,0,1,DCA-05,2025-03-22,19,2025-04-10,Closed,1,15487.33,37.0,2025-04-28,0,1,0,High
C000002,17739,APAC,Technology,31990.63,6,104,0,0.767,679.6,Good,1,Portal,0,0,DCA-03,2025-08-19,21,2025-09-09,In Progress,0,0.0,,,0,0,0,Low
C000003,16545,MEA,Manufacturing,29540.62,6,235,1,0.889,667.7,Fair,6,Email,0,0,DCA-02,2025-08-03,9,2025-08-12,Escalated,0,0.0,,,0,0,1,Low
C000004,14388,EU,Manufacturing,13432.29,7,220,2,0.843,617.1,Fair,3,Portal,0,0,DCA-02,2025-09-27,21,2025-10-18,Closed,1,11233.79,70.0,2025-12-06,0,0,0,Low
C000005,14330,EU,FMCG,2602.64,7,306,1,1.0,688.6,Good,5,Portal,0,0,DCA-07,2026-01-28,28,2026-02-25,Escalated,0,0.0,,,0,0,1,Low
C000006,18585,EU,Aviation,6160.78,2,292,0,0.903,685.4,Good,7,Phone,0,0,DCA-10,2025-05-09,28,2025-06-06,Closed,1,5668.95,72.0,2025-07-20,0,0,0,Low
C000007,10859,IND,Finance,22795.85,2,6,1,0.776,651.3,Fair,4,Phone,0,0,DCA-10,2026-01-03,11,2026-01-14,In Progress,0,0.0,,,0,0,0,Low
C000008,16973,MEA,Energy,4513.48,2,33,0,0.927,763.6,Very Good,2,Portal,0,0,DCA-05,2025-07-25,30,2025-08-24,In Progress,0,0.0,,,0,0,0,Medium
C000009,12014,APAC,Retail,10628.72,5,129,1,1.0,703.4,Good,2,Portal,0,1,DCA-08,2025-03-29,16,2025-04-14,PTP,0,0.0,,,0,0,0,Low
C000010,10941,APAC,Technology,16931.59,5,350,0,0.774,587.6,Fair,9,In-person,0,1,DCA-02,2025-03-19,11,2025-03-30,PTP,0,0.0,,,0,0,1,Low
C000011,15264,MEA,FMCG,37372.84,7,174,2,0.588,554.0,Poor,3,Phone,0,0,DCA-07,2025-11-16,20,2025-12-06,In Progress,0,0.0,,,0,0,0,Low
C000012,19756,IND,Technology,8932.81,6,325,0,0.878,655.9,Fair,4,Phone,0,1,DCA-05,2025-06-06,18,2025-06-24,PTP,0,0.0,,,0,0,1,Medium
C000013,17357,EU,Logistics,8514.78,6,22,0,1.0,825.6,Excellent,2,Portal,0,0,DCA-07,2025-08-31,17,2025-09-17,Closed,1,8190.09,45.0,2025-10-15,0,1,0,High
C000014,17611,IND,Technology,12878.16,1,351,0,1.0,727.8,Good,3,Email,0,1,DCA-01,2025-02-06,15,2025-02-21,PTP,0,0.0,,,0,0,1,Low
C000015,17174,EU,Healthcare,17079.58,5,23,0,0.838,763.4,Very Good,2,Portal,0,0,DCA-08,2025-11-13,25,2025-12-08,Closed,1,15124.61,51.0,2026-01-03,0,1,0,Medium
C000016,17860,IND,Automotive,11992.39,6,295,1,0.94,706.0,Good,6,Email,1,1,DCA-06,2025-09-19,8,2025-09-27,Escalated,0,0.0,,,0,0,1,Low
C000017,15132,MEA,Retail,27847.2,7,320,0,0.891,619.2,Fair,3,Phone,0,0,DCA-06,2025-03-18,18,2025-04-05,Escalated,0,0.0,,,0,0,1,Low
C000018,11281,MEA,Energy,7635.77,3,108,0,1.0,798.6,Very Good,4,Phone,0,0,DCA-03,2025-01-24,15,2025-02-08,In Progress,0,0.0,,,0,0,0,Medium
C000019,18397,EU,Retail,14532.06,6,110,0,1.0,724.1,Good,4,Email,1,1,DCA-04,2025-07-29,23,2025-08-21,Escalated,0,0.0,,,0,0,1,Low
C000020,14503,IND,Manufacturing,18245.05,3,212,0,1.0,676.4,Good,5,Phone,0,1,DCA-01,2025-04-28,23,2025-05-21,Closed,1,18245.05,30.0,2025-05-28,1,1,0,Medium
C000021,15003,EU,Energy,10095.42,2,263,0,0.944,597.4,Fair,7,Email,0,0,DCA-04,2025-08-18,29,2025-09-16,Escalated,0,0.0,,,0,0,1,Low
C000022,13707,IND,Retail,24047.76,3,44,2,0.667,602.7,Fair,1,Email,0,0,DCA-03,2025-02-10,27,2025-03-09,In Progress,0,0.0,,,0,0,0,Low
C000023,11825,NA,Technology,14827.98,2,87,1,0.873,618.3,Fair,3,Email,1,0,DCA-08,2025-10-15,28,2025-11-12,Dispute,0,0.0,,,0,0,0,Low
C000024,19267,EU,Energy,23206.6,7,275,1,0.684,608.8,Fair,0,Email,0,0,DCA-02,2025-09-20,26,2025-10-16,Escalated,0,0.0,,,0,0,1,Low
C000025,17815,NA,Technology,15304.05,2,294,0,0.7,687.2,Good,4,SMS,0,0,DCA-02,2026-01-15,22,2026-02-06,Escalated,0,0.0,,,0,0,1,Low
C000026,16438,NA,Technology,17387.09,1,56,0,1.0,714.8,Good,6,Phone,0,0,DCA-09,2025-07-05,7,2025-07-12,Closed,1,17387.09,53.0,2025-08-27,0,1,0,Medium
C000027,14024,APAC,Finance,8581.17,5,324,0,0.836,540.4,Poor,3,Email,0,0,DCA-06,2025-07-01,27,2025-07-28,Escalated,0,0.0,,,0,0,1,Low
C000028,18227,IND,Automotive,8590.91,5,316,0,0.896,607.6,Fair,4,Email,1,0,DCA-07,2025-05-25,16,2025-06-10,Escalated,0,0.0,,,0,0,1,Low
C000029,15454,MEA,Technology,31479.05,4,316,0,0.857,620.1,Fair,1,SMS,0,0,DCA-02,2025-09-01,15,2025-09-16,Escalated,0,0.0,,,0,0,1,Low
C000030,14434,LATAM,Aviation,20844.75,2,88,1,1.0,700.1,Good,1,Email,0,0,DCA-07,2025-07-07,29,2025-08-05,In Progress,0,0.0,,,0,0,0,Medium
C000031,14504,NA,Automotive,6528.45,4,244,1,1.0,744.3,Very Good,7,Phone,0,0,DCA-07,2025-11-14,19,2025-12-03,Escalated,0,0.0,,,0,0,1,Low
C000032,12272,IND,Finance,15162.86,7,59,0,0.821,675.6,Good,3,Phone,0,0,DCA-05,2025-03-05,20,2025-03-25,In Progress,0,0.0,,,0,0,0,Low
C000033,10921,EU,Healthcare,2536.03,1,72,1,0.783,635.4,Fair,3,In-person,0,0,DCA-10,2025-02-23,14,2025-03-09,In Progress,0,0.0,,,0,0,0,Low
C000034,15545,APAC,Energy,8939.56,6,26,1,0.925,705.1,Good,6,Email,0,1,DCA-03,2025-12-19,30,2026-01-18,PTP,0,0.0,,,0,0,0,High
C000035,18878,IND,Logistics,26179.17,1,180,1,0.529,553.3,Poor,4,Email,0,0,DCA-06,2026-01-20,15,2026-02-04,In Progress,0,0.0,,,0,0,0,Low
C000036,10638,NA,Technology,12239.19,2,259,0,0.91,691.0,Good,4,Email,0,0,DCA-02,2025-05-17,15,2025-06-01,Escalated,0,0.0,,,0,0,1,Low
C000037,18582,EU,Technology,14509.21,7,73,0,0.864,734.1,Good,3,Portal,0,0,DCA-04,2025-09-14,25,2025-10-09,In Progress,0,0.0,,,0,0,0,Low
C000038,18276,IND,Manufacturing,1617.33,3,68,1,0.803,693.0,Good,1,Phone,1,0,DCA-03,2025-09-22,16,2025-10-08,Dispute,0,0.0,,,0,0,0,Low
C000039,12767,NA,Energy,10151.96,4,101,1,0.686,689.4,Good,3,SMS,0,1,DCA-07,2025-07-30,29,2025-08-28,PTP,0,0.0,,,0,0,0,Medium
