interaction_id,case_id,timestamp,actor,event_type,channel,notes
I0000230,C004328,2025-01-03 11:33:00,DCA,Payment Received,Email,Customer asked for payment plan
I0018016,C001474,2025-01-05 11:44:00,DCA,Note Added,In-person,Customer promised to pay next week
I0008669,C002067,2025-01-06 16:36:00,DCA,Call Connected,Email,Escalated due to SLA breach
I0021628,C003985,2025-01-08 08:24:00,DCA,PTP Recorded,SMS,Email bounced
I0011510,C001319,2025-01-08 11:41:00,DCA,Escalation,SMS,Email bounced
I0011458,C002525,2025-01-08 13:49:00,DCA,Call Connected,Portal,Customer promised to pay next week
I0011548,C000923,2025-01-09 15:52:00,FedEx,Call Attempt,Portal,Payment received partial
I0003692,C002821,2025-01-09 16:38:00,DCA,Call Connected,Phone,Email bounced
I0010155,C003533,2025-01-10 08:43:00,DCA,PTP Recorded,Portal,Dispute regarding service charges
I0014572,C004541,2025-01-10 08:53:00,DCA,Payment Received,SMS,Payment received partial
I0011800,C001057,2025-01-10 11:29:00,DCA,SMS Sent,Email,Customer asked for payment plan
I0012232,C001627,2025-01-11 08:32:00,DCA,Escalation,Portal,Escalated due to SLA breach
I0014258,C004541,2025-01-11 09:20:00,DCA,Portal Message,SMS,Dispute regarding service charges
I0006065,C002274,2025-01-11 09:51:00,FedEx,Allocated,Phone,Dispute regarding service charges
I0021458,C004243,2025-01-11 10:02:00,DCA,Case Closed,Email,No response after multiple attempts
I0009852,C002096,2025-01-11 10:35:00,FedEx,Call Attempt,In-person,Email bounced
I0011867,C000243,2025-01-11 11:42:00,DCA,SMS Sent,SMS,No response after multiple attempts
I0004971,C002979,2025-01-11 16:17:00,DCA,Call Attempt,In-person,No response after multiple attempts
I0015405,C004117,2025-01-11 16:25:00,DCA,Call Attempt,In-person,Customer requested invoice copy
I0013011,C002255,2025-01-11 18:27:00,DCA,Payment Received,Email,Customer requested invoice copy
I0023129,C001181,2025-01-12 08:38:00,DCA,Case Closed,SMS,Customer promised to pay next week
I0022102,C003794,2025-01-12 10:26:00,DCA,Dispute Raised,Portal,Escalated due to SLA breach
I0006167,C003754,2025-01-12 10:40:00,DCA,SMS Sent,In-person,Customer requested invoice copy
I0016523,C001630,2025-01-12 15:59:00,DCA,Call Attempt,SMS,Email bounced
I0018562,C000211,2025-01-13 17:08:00,DCA,PTP Recorded,Phone,Dispute regarding service charges
I0019077,C001044,2025-01-14 08:11:00,DCA,SMS Sent,Portal,Payment received partial
I0009714,C003985,2025-01-14 09:10:00,DCA,SMS Sent,Email,Email bounced
I0004444,C000272,2025-01-14 11:39:00,DCA,Call Connected,In-person,Left voicemail
I0007524,C003154,2025-01-14 11:45:00,FedEx,Call Attempt,Portal,No response after multiple attempts
I0007732,C003542,2025-01-15 08:11:00,FedEx,Email Sent,Email,No response after multiple attempts
I0002853,C004808,2025-01-15 08:48:00,DCA,Case Closed,In-person,Left voicemail
I0016017,C000797,2025-01-15 09:34:00,FedEx,Allocated,Email,Updated contact details
I0000333,C000230,2025-01-15 11:08:00,FedEx,Call Attempt,Portal,Updated contact details
I0008400,C000942,2025-01-15 14:18:00,DCA,Email Sent,Email,Left voicemail
I0004716,C000790,2025-01-16 08:12:00,DCA,Call Attempt,Portal,Updated contact details
I0016199,C002820,2025-01-16 11:20:00,DCA,Call Attempt,Phone,Updated contact details
I0015218,C001516,2025-01-16 13:59:00,DCA,SMS Sent,Phone,Customer asked for payment plan
I0013236,C002870,2025-01-16 14:31:00,DCA,Call Attempt,Email,Updated contact details
I0004255,C003293,2025-01-16 15:26:00,DCA,Payment Received,Portal,Customer asked for payment plan
I0018325,C001630,2025-01-16 18:06:00,DCA,Call Attempt,SMS,Payment received partial
I0024985,C004717,2025-01-17 08:32:00,DCA,Note Added,Email,Customer asked for payment plan
I0012578,C003921,2025-01-17 12:10:00,DCA,Call Connected,SMS,Customer requested invoice copy
I0000616,C001516,2025-01-17 12:36:00,DCA,Email Sent,Portal,Updated contact details
I0024042,C002821,2025-01-17 13:22:00,DCA,Email Sent,Email,Payment received partial
I0016491,C004457,2025-01-18 10:35:00,DCA,Portal Message,Email,Customer asked for payment plan
I0009649,C002620,2025-01-18 11:23:00,DCA,Call Connected,In-person,Customer asked for payment plan
I0016832,C002456,2025-01-18 15:23:00,FedEx,Call Connected,Portal,Dispute regarding service charges
I0021646,C003272,2025-01-18 16:13:00,FedEx,Call Attempt,SMS,Customer asked for payment plan
I0016882,C003043,2025-01-18 16:59:00,DCA,Note Added,Email,Dispute regarding service charges
I0007351,C002508,2025-01-18 17:51:00,DCA,Allocated,Email,Email bounced
I0024530,C003524,2025-01-19 11:37:00,DCA,Case Closed,SMS,Left voicemail
I0014036,C004750,2025-01-19 12:33:00,FedEx,Payment Received,Portal,Dispute regarding service charges
I0021874,C000228,2025-01-19 13:42:00,DCA,Allocated,In-person,Payment received partial
I0008274,C003929,2025-01-19 16:03:00,FedEx,PTP Recorded,Email,Email bounced
I0011722,C003659,2025-01-20 15:48:00,FedEx,Call Connected,Portal,Escalated due to SLA breach
I0024683,C003757,2025-01-20 16:11:00,FedEx,Allocated,Email,Customer requested invoice copy
I0010529,C004117,2025-01-20 17:39:00,DCA,PTP Recorded,Portal,Dispute regarding service charges
I0003754,C001083,2025-01-20 18:17:00,DCA,SMS Sent,Email,Email bounced
I0015011,C000418,2025-01-21 09:03:00,FedEx,Payment Received,Portal,Updated contact details
I0006434,C002860,2025-01-21 11:56:00,FedEx,Email Sent,Phone,Updated contact details
I0014882,C002344,2025-01-21 16:03:00,DCA,Call Attempt,SMS,Dispute regarding service charges
I0008739,C001630,2025-01-21 18:08:00,DCA,Call Connected,In-person,Customer asked for payment plan
I0001001,C003446,2025-01-22 11:34:00,DCA,Payment Received,Email,Customer promised to pay next week
I0021975,C001516,2025-01-22 12:15:00,DCA,Escalation,SMS,No response after multiple attempts
I0021366,C004616,2025-01-22 12:40:00,FedEx,Call Attempt,Portal,Escalated due to SLA breach
I0002034,C000296,2025-01-22 13:55:00,DCA,Payment Received,Phone,Customer promised to pay next week
I0000559,C000930,2025-01-22 15:04:00,DCA,Call Attempt,Portal,Customer requested invoice copy
I0001459,C002255,2025-01-22 15:50:00,DCA,Escalation,Phone,Dispute regarding service charges
